chinese,english
我 必須 熨 我 的 襯衫,I have to iron my shirt
我 得 卖 我 的 房子,I have to sell my house
我 從 收音 機聽 到 它,I heard it on the radio
我 從 廣播 中 聽 到 它,I heard it on the radio
我 躲 在 高 草丛里 了,I hid in the tall grass
我 知道 他 叫 什么 名字,I know what his name is
我 非常 喜欢 我 的 工作,I like my job very much
我 喜欢 你 走路 的 方式,I like the way you walk
我 只 知道 他 的 名字,I only know him by name
我 把 我 的 成功 歸功 於 他,I owe my success to him
我 打算 給他 買 一支 鋼筆,I plan to buy him a pen
我 真 喜欢 我 做 的 事,I really like what I do
我 看 見 他 在 看 我,I saw him looking at me
我 看见 他 正在 锯 一棵树,I saw him sawing a tree
我 在 她 的 眼睛 裡 看到 淚水,I saw tears in her eyes
我 想 让 他 读 这个,I want him to read this
我 希望 再次 見 到 你,I want to see you again
我 想 让 你 穿 这件,I want you to wear this
我 希望 我 有 更 多 錢,I wish I had more money
我 希望 他現 在 在 這裡,I wish he were here now
我 希望 看看 我 的 父親,I wish to see my father
我 不 知道 他 是否 愛我,I wonder if he loves me
我 一 小时 内来 见 你,I'll see you in an hour
我 不 像 湯姆 那樣 勇敢,I'm not as brave as Tom
那 是 我 的 照片 嗎,Is that a picture of me
它 可以 在 一天 之內 完成,It can be done in a day
我 可以 看 一下 酒單 嗎,May I see the wine list
我 的 叔叔 給了 我 一本 書,My uncle gave me a book
我 叔叔 给 了 我 一份 礼物,My uncle gave me a gift
我 叔叔 送 了 我 一样 礼物,My uncle gave me a gift
奈良 是 个 非常 古老 的 城市,Nara is a very old city
没有 人 跑 在 他 前面,No one ran ahead of him
她給 了 我 一個 靦腆 的 笑容,She gave me a shy smile
她給 了 我們 很多 吃 的 東西,She gave us lots to eat
她 為 他 做 了 件 新 大衣,She made him a new coat
她 為 他 做 了 一套 新 衣服,She made him a new suit
她 照顧 了 我 的 狗,She took care of my dog
告訴 我們 下 一步 該 怎麼 做,Tell us what to do next
五 和 三 的 總 和 是 八,The sum of 5 and 3 is 8
這是 本 很 舊 的 書,This is a very old book
汤姆 从 吉普车 上 下来 了,Tom got out of the jeep
汤姆 从 出租车 上 下来 了,Tom got out of the taxi
湯姆 是 我 朋友 中 的 其中 一位,Tom is a friend of mine
汤姆 是 个 脾气 暴躁 的 老人,Tom is a grumpy old man
汤姆 说 他 留 了 张 便条,Tom says he left a note
汤姆 告诉 我 该 说 什么,Tom told me what to say
我們 為 死者 放棄 了 他,We gave him up for dead
我們 在 那裡 上 了 公共 汽車,We got on the bus there
我們 從 那裡 逃 了 出來,We made it out of there
你 对 这件 事有 什么 看法,What do you think of it
你 為 甚麼 哭 得 這麼 厲害,Why did you cry so much
你 為 甚麼 需要 我 幫助,Why do you need my help
你 能 幫 我 一個 忙 嗎,Would you do me a favor
是 的 我 有 一個 好 主意,Yes I have a good idea
您 在 一个 安全 的 地方,You are in a safe place
您 不 知道 我 是 谁,You don't know who I am
你 太太 在 生 你 的 氣,Your wife is mad at you
一輛 卡車 輾過 一 隻 狗,A truck ran over our dog
能 让 我 用 这个 吗,Am I allowed to use this
汤姆 和 我 都 累 了,Both Tom and I are tired
我 可以 问 你 个 问题 吗,Can I ask you a question
我能 问 您 一个 问题 吗,Can I ask you a question
我 可以 用 信用卡 付帳 嗎,Can I pay by credit card
我 可以 試穿 這件 外套 嗎,Can I try on this jacket
我們 能 在 走廊 裡說 話 嗎,Can we speak in the hall
你 能 替 我 拷貝 這個 嗎,Can you copy this for me
你 能 帮 我 一点 忙 吗,Can you help me a little
可以 把 牛奶 递给 我 吗,Can you pass me the milk
您 能 把 电视 开 小声点 吗,Can you turn the TV down
你 度过 愉快 的 时光 了 吗,Did you have a good time
你 聽 見 我 說 的 了 嗎,Did you hear what I said
你付 錢 買 這本書 了 嗎,Did you pay for the book
你 有 时间 再 做 吧,Do it when you have time
你 有 紅色 的 鉛筆 嗎,Do you have a red pencil
你 有 多余 的 钥匙 吗,Do you have an extra key
你 知道 他 說 了 什麼 嗎,Do you know what he said
你 知道 我 住 哪 吗,Do you know where I live
你 知道 他們 是 誰 嗎,Do you know who they are
你 打算 長 時間 停留 嗎,Do you plan to stay long
你 认为 这 是 个 预兆 吗,Do you think it's a sign
你 認為 它 是 陷阱 嗎,Do you think it's a trap
别问 我 这 是 什么 东西,Don't ask me what it was
他 抓住 了 她 的 胳膊,He caught her by the arm
他 打扮 得 像 女人 一樣,He dressed up as a woman
他 不得不 打扫 了 他 的 房间,He had to clean his room
他 一點 禮貌 也 沒 有,He has no manners at all
他 急 於 要 見 你,He is anxious to see you
他 早就 知道 自己 不会 赢,He knew he could not win
他 在 这儿 住 了 有 一段时间 了,He lived here for a time
他 看 起來 是 個 好 男孩,He looks like a good boy
他 穿 上 了 黑色 的 外套,He put on the black coat
他 穿 上 了 紅色 的 外套,He put on the red jacket
他 告訴 我們 要 保持 安靜,He told us to keep quiet
他 以前 是 個 好 男孩,He used to be a nice boy
他 以前 都 在 夜晚 看書,He used to read at night
他 是 第一 個 來 的,He was the first to come
他 坐 汽車 到 波士 頓,He went to Boston by car
他会 成为 一个 好 的 医生 的,He will be a good doctor
我 承认 他 是 对 的,I admit that he is right
我 讓 湯姆 在 這裡 等,I asked Tom to wait here
我 請 他 在 這裡 等,I asked him to wait here
这 完全 是 我 自己 做 的,I did that all on my own
我 不 知道 要 做 什麼,I didn't know what to do
我 不 知道 該 怎麼 辦,I didn't know what to do
我 為 人生 感到 很 開心,I get a kick out of life
我 的 牛仔 褲破 了 一個 洞,I got a hole in my jeans
我 在 树林 里 迷路 了,I got lost in the forest
估计 那 就是 个 笑话 吧,I guess it's only a joke
我 把 我 的 帽子 掛在 掛鉤 上,I hung my hat on the peg
我 知道 很多 關於船 的 知識,I know a lot about ships
我 知道 他 在 看 著 我,I know he is watching me
我 知道 汤姆 在 做 什么,I know what Tom is doing
我 喜歡 做 我 的 作業,I like to do my homework
我 非常 喜欢 我 的 工作,I love my work very much
我 遇到 了 瑪麗 的 一位 朋友,I met a friend of Mary's
我 在 回家 的 路上 遇到 了 他,I met him on my way home
我 在 回家 的 路上 遇見 了 他,I met him on my way home
我 看 見 了 她 打 掃 房間,I saw her clean the room
我 看 見 她 進 了 房間,I saw her enter the room
我 看见 他 穿过 了 马路,I saw him cross the road
我 看 見 他 在 讀 一本 書,I saw him reading a book
我见 你 找到 了 你 的 包,I see you found your bag
我 在 这 东西 上花 了 十美元,I spent 10 dollars on it
我 认为 我犯 了 个 错,I think I made a mistake
我 曾经 像 猪 一样 吃,I used to eat like a pig
我 被 要求 在 这里 等,I was asked to wait here
我 希望 我 再 年 輕 一次,I wish I was young again
我 是 不会 系 领带 的,I won't be wearing a tie
我 不 知道 湯姆 是否 喜歡 我,I wonder if Tom likes me
我 不 知道 這 是不是 愛,I wonder if this is love
我 不 知道 他 為 什麼 那樣 做,I wonder why he did that
我 这 周干 了 很多 活,I worked a lot this week
我 如果 能 做 就 做,I would do it if I could
要是 我 是 你 我 就 会 去,I would go if I were you
我 饿 得 跟 饿虎扑羊 似的,I'm as hungry as a horse
我 跟 我 父親 一樣 高,I'm as tall as my father
我 将 去取 我 的 车,I'm going to take my car
我 不 喜歡 她 的 臉,I'm not fond of her face
那个 包是 你 的 还是 他 的,Is this bag yours or his
这 正如 我 想 的 一样,It was just as I thought
帮助 你 是 我 的 责任,It's my duty to help you
帮助 你 是 我们 的 工作,It's our job to help you
看 我 为 你 做 了 什么,Look what I made for you
我 可以 问 你 个 问题 吗,May I ask you a question
我 可以 去 洗手 間 嗎,May I go to the bathroom
我 可以 去 洗手 間 嗎,May I go to the restroom
我們 能 私下 見 見 嗎,May I see you in private
我 今天 可以 使用 你 的 汽车 吗,May I use your car today
我 今天 可以 借用 你 的 汽车 吗,May I use your car today
我 的 阿姨 給了 我 一台 攝影機,My aunt gave me a camera
我 姑姑 給了 我 一張 唱片 專輯,My aunt gave me an album
我 姑姑 給了 我 一本 相簿,My aunt gave me an album
我 姑姑 給了 我 一本 集郵冊,My aunt gave me an album
我 爸爸 给 我 了 游戏,My father gave me a game
我 父親 在 他 的 房間裡,My father is in his room
我 的 房子 又 舊 又 難 看,My house is old and ugly
我 的 工作 是 洗 盤子,My job is to wash dishes
我 叔叔 給了 我 他 的車,My uncle gave me his car
请 告诉 我 汤姆 很 好,Please tell me Tom is OK
她 派 他 去 工作 了,She laid the work on him
她 做 了 一件 好看 的 衣服 給我,She made me a nice dress
她 為 我 做 了 這個 娃娃,She made the doll for me
你 爱 拿 多少 就 拿 多少,Take as much as you like
這個 玩具 是 用 木頭 做 的,That toy is made of wood
那 是 我 必須 做 的,That's what I have to do
这 是 棵 很 高 的 树,This is a very tall tree
這是 所有 他 必須 做 的 事,This is all he has to do
這 玩具 是 用 木頭 做 的,This toy is made of wood
汤姆 和 我 都 累 了,Tom and I are both tired
汤姆 从 办公桌 旁站 了 起来,Tom got up from his desk
汤姆 是 个 非常 坏 的 人,Tom is a very bad person
湯姆 游泳 可以 游得 很 好,Tom is able to swim well
湯姆 的 年紀 不 比 你 大,Tom is not as old as you
湯姆 跟 瑪麗 打 了 個 賭,Tom made a bet with Mary
汤姆 想 在 它 上面 睡觉,Tom wants to sleep on it
我們 買 了 一磅 的 茶,We bought a pound of tea
鸡蛋 是 论 打 买 的,We buy eggs by the dozen
我們 做 我們 想 做 的,We do what we want to do
我们 每周 在 这儿 聚 一次,We meet here once a week
我们 希望 你 和 汤姆 能 结婚,We want you to marry Tom
你 覺得 他 這樣 做 怎麼樣,What do you think he did
他 說 的 話 不是 真的,What he said is not true
你 會 用 它 來 做 什麼,What will you use it for
為 什麼 你 的 耳朵 這麼 大,Why are your ears so big
為 甚麼 湯姆 不能 來 我們 這裡,Why can't Tom come to us
你 為 什麼 打開 這個 盒子,Why did you open the box
你 为什么 让 我 看 这个,Why did you show me this
我 为什么 一定 要 那么 做,Why do I have to do that
你 為 甚麼 不 去 看 湯姆,Why don't you go see Tom
你 可以 给 我 一个 提示 吗,Would you give me a hint
如果 你 想 你 可以 來,You may come if you like
你 的 書 在 書 桌上,Your book is on the desk
咱們 走 吧 他 對 我 說,Let's go he said to me
叉子 从 桌上 掉 了 下来,A fork fell off the table
所有 你 能 做 的 就是 等待,All you can do is to wait
我們 之中 任何 一個 都 能 做到,Any one of us could do it
我能 為 你 做點 甚麼 嗎,Can I do anything for you
我 可以 为 你 调杯 热 饮料 吗,Can I fix you a hot drink
你 能 猜 到 我 有 什么 吗,Can you guess what I have
你们 能 猜 到 我 有 什么 吗,Can you guess what I have
来 嘛 给 我 个 机会,Come on Give me a chance
他 看 起來 像 個 醫生 嗎,Did he look like a doctor
做 你 所 想 的 是 最好 的,Do what you think is best
你 有 比 較 大 的 尺寸 嗎,Do you have a larger size
你 有 任何 一日 遊的 行程 嗎,Do you have any day tours
您 想 再 来 点 茶 吗,Do you want some more tea
你 想 再 要点 茶 吗,Do you want some more tea
別 再 對 我 做 這事 了,Don't do this to me again
给予 汤姆 一些 你 力所能及 的 帮助,Give Tom any help you can
替 我 向 你 的 孩子 們 問好,Give my love to your kids
給 這 隻 狗 一些 肉,Give some meat to the dog
你 曾 經愛過 一個 男人 嗎,Have you ever loved a man
他 问 我 是否 很 忙,He asked me if I was busy
他 不 认识 我们 中 的 任何 一个,He doesn't know any of us
他長 大後成 為 了 一名 醫生,He grew up to be a doctor
他 手里 拿 着 一 本书,He had a book in his hand
他 把 它 藏 在 了 门 后,He hid it behind the door
他 年 紀夠 大 可以 開車,He is old enough to drive
他 是 我 的 一個 鄰居,He is one of my neighbors
他 向 我们 提供 了 帮助,He offered his help to us
他 游泳 游得 比 我 好,He swims better than I do
他 是 在 战争 中 受伤 的,He was wounded in the war
他会 让 你 吃 灰 的,He will make you eat dirt
嘿 你 的 狗 刚 咬 了 我,Hey your dog just bit me
你 怎么 找到 我 的 房子 的,How did you find my house
我们 该 怎么 从 这里 出去,How do we get out of here
您 怎么 让 屋子 暖 起来,How do you heat the house
你 在 监狱 里 呆 了 多久,How long were you in jail
我 干 了 件 什么 傻事 啊,How stupid of me to do so
我 很 抱歉 給你添 麻煩 了,I am sorry to trouble you
我 很 抱歉 打擾 你 了,I am sorry to trouble you
我 是 网球 俱乐部 的 会员,I belong to a tennis club
我 買 了 一輛 紅色 的 跑車,I bought a red sports car
沒有 他 的 幫助 我 也 能 做,I can do without his help
我無法 彎曲 我 的 右 手臂,I can't bend my right arm
我無法 舉起 我 的 右 手臂,I can't lift my right arm
我 的 感冒 怎麼 也 不會 好,I can't shake off my cold
我 不 知道 該 說些 什麼,I didn't know what to say
我 不 明白 你 的 意思,I don't get what you mean
我 不 知道 湯姆 拿到 了 甚麼,I don't know what Tom got
我 不 知道 汤姆 看到 了 什么,I don't know what Tom saw
我 把 它 忘 在 车库里 了,I forgot it in the garage
我 弄清楚 她 在 哪儿 了,I found out where she was
我讀 完書 之 後 就 去 睡覺,I go to bed after I study
我 的 眼睛 進 了 些 沙,I got some sand in my eye
我 在 这儿 有 一些 朋友,I have a few friends here
我 帶 了 一個 驚 喜給 你,I have a surprise for you
我 不 知道 她 是 谁,I have no idea who she is
我 希望 很快 就 能 見 到 你,I hope I can see you soon
我 知道 汤姆 在 做 什么,I knew what Tom was doing
我 知道 湯姆 在 看着 我,I know Tom is watching me
我 知道 生命 是 短暂 的,I know that life is short
我給 他 的 兒子 做 了 一套 新西裝,I made his son a new suit
我 可能 犯 了 个 错,I may have made a mistake
我 在 理发店 碰到 了 他,I met him at the barber's
我 今天 可能 見 不到 湯姆 了,I might not see Tom today
我 盡 可能 地 跑 快 一點,I ran as fast as possible
我 现在 真 需要 来杯 喝 的,I really need a drink now
我 在 三 小时 前见 过 汤姆,I saw Tom three hours ago
十年 之 後 我 看到 了 他,I saw him after ten years
我 在 报纸 上 看到 了 它,I saw it in the newspaper
我 是 在 报纸 上 看到 它 的,I saw it in the newspaper
我 看 的 比 Tom 知道 得 多,I saw more than Tom knows
我 应该 在 2 ： 30 准备 好,I should be ready by 2:30
昨晚 我 和 汤姆 说话 了,I spoke to Tom last night
我 認為 我 知道 是 誰 做 的,I think I know who did it
我 認為 那 是 個 好日子,I think it was a good day
我 觉得 这 本书 很 简单,I think this book is easy
我 看 你 长得 像 汤姆,I think you look like Tom
我 想 看看 你 的 母親,I want to see your mother
我 想 和 你 去 旅行,I want to travel with you
我 想 讓 你 離開 我 的 房間,I want you out of my room
我 想 讓 你 準備 好,I want you to be prepared
我 想要 你 睡 在 它 上边,I want you to sleep on it
我 想 让 你 等 我,I want you to wait for me
我 希望 你 更加 努力 地 工作,I want you to work harder
我 幾乎 被 車撞 到 了,I was almost hit by a car
我会 把 这 本书 给 你,I will give you this book
我 下周 会 去 见 他们,I will see them next week
我 為 一家 石油 公司 工作,I work for an oil company
我 想 和 你 一起 走,I'd like to come with you
我 想 和 你 一起 去,I'd love to come with you
很 高興 再次 見 到 你,I'm glad to see you again
我 很 高興 在 這裡 看到 你,I'm happy to see you here
我 不 太 擅长 打 高尔夫球,I'm not very good at golf
我 只 在 这里 待 一天,I'm only here for one day
很 抱歉 我 伤害 了 你,I'm sorry that I hurt you
我 在 本週 做 了 許多事,I've done a lot this week
如果 你 加热 冰它 就 会 融化,If you heat ice it melts
汤姆 要 甩 了 玛丽 吗,Is Tom going to dump Mary
死 是 唯一 的 解脱 吗,Is death the only way out
这 是 去 牛津大学 的 车 吗,Is this the bus to Oxford
它 可以 被 當成 一把 刀來 用,It can be used as a knife
对 你 来说 还 不 太晚,It isn't too late for you
這 可能 是 真的 也 可能 不是,It may or may not be true
做 那事 是 我 的 责任,It was my duty to do that
我 可以 有 張公車 的 時刻表 嗎,May I have a bus schedule
我 可以 看看 你 的 行李 條嗎,May I see your claim tags
妈妈 给 我 做 了 一个 洋娃娃,Mother made a doll for me
我 的 房子 有 一個 小 院子,My house has a small yard
我 叔叔 給了 我 一個 照相 機,My uncle gave me a camera
沒人 關心 我 想 什 麽,No one cares what I think
我 的 一個 包包 不見 了,One of my bags is missing
你 的 轮胎 爆 了 一个,One of your tires is flat
我們 的 欄杆 是 鐵 做 的,Our fence is made of iron
他 的 故事 一部分 是 真的,Part of his story is true
屋頂 有 一部分 被 刮走 了,Part of the roof blew off
請 告訴 我 什麼 時候 該 走,Please tell me when to go
看看 你 能 跳 多 高,See how high you can jump
她 叫 了 我 很 多次,She called me many a time
她 给 了 她 父亲 一条 领带,She gave her father a tie
她給 了 我 很多 吃 的 東西,She gave me plenty to eat
她 有 一 雙美麗 的 眼睛,She has an eye for beauty
她 住 在 一個 很大 的 房子 裡,She lives in a huge house
她 一定 在 生 我 的 氣,She must be angry with me
她 在 她 的 床上 鋪 了 床單,She put sheets on her bed
她 以前 和 他 住 一起,She used to live with him
深吸 一口 氣然 後 屏住 氣,Take a breath and hold it
到 5 号 轨道 乘 随便 什么 火车,Take any train on track 5
我 的 湯裡 有 一根 頭 髮,There's a hair in my soup
他們 為 失敗 放棄 了 他,They gave him up for lost
上週 他們 生 了 一個 孩子,They had a baby last week
他們 讓 我們 工作 了 一整天,They made us work all day
湯姆 和 我 要 做 完 了,Tom and I are almost done
汤姆 在 波士顿 找 了 份 工作,Tom found a job in Boston
湯姆 必須 賣 了 他 的 房子,Tom had to sell his house
汤姆 是 个 寡欲 的 人,Tom is a man of few wants
汤姆 是 个 很 好 的 人,Tom is a very good person
汤姆 是 个 很 好 的 歌手,Tom is a very good singer
汤姆 是因为 我 才 在 这里 的,Tom is here because of me
汤姆 不是 个 友好 的 家伙,Tom is not a friendly guy
汤姆 不 在 你 的 联盟 里,Tom is out of your league
湯姆 不是 個 多 好 的 人,Tom isn't a very nice guy
湯姆給 我們 看 他 的 新車,Tom showed us his new car
我們 都 為 Tom 感到 遺憾,We all felt sorry for Tom
我們 都 知道 我為 甚麼 在 這裡,We both know why I'm here
我们 不能 让 他们 那么 做,We can't let them do that
我們 在 動物 園裡 看到 了 猴子,We saw monkeys at the zoo
我们 最好 快点 （ 走 / 做 ）,We'd better get a move on
我们 会 给 你 留个 位置,We'll save a seat for you
我们 不再 像 汤姆 那样 年轻,We're not as young as Tom
你 要 对 汤姆 说些 什么,What would you say to Tom
我 不 知道 我們 什麼 時候 可以 吃,When can we eat I wonder
你 最后 一次 看到 汤姆 是 什么 时候,When did you last see Tom
你 为什么 对 我 这么 小气,Why are you so mean to me
你 為 甚麼 不 跟 他講,Why don't you talk to him
請 你 把 鹽 遞給 我 好 嗎,Will you pass me the salt
你 和 湯姆 一定 很 高興,You and Tom must be happy
你 不再 能 伤害 到 我 了,You can no longer hurt me
你 游泳 游得 比 我 好,You swim better than I do
突然 我 听到 了 一声 喊叫,All at once I heard a cry
你们 要 在 这里 唱歌 吗,Are you going to sing here
你 確定 你 的 資料 屬實 嗎,Are you sure of your facts
她 能 忍受 長 途 旅行 嗎,Can she endure a long trip
能 给 我 打个 折 么,Can you give me a discount
你 能 不能 给 我 打折,Can you give me a discount
你 可以 给 我 折扣 吗,Can you give me a discount
你 能 给 我 折扣 吗,Can you give me a discount
你 可以 给 我 举个 例子 吗,Can you give me an example
你 能給 我 一些 錢 嗎,Can you give me some money
你 能 猜 到 我 的 年龄 吗,Can you guess how old I am
你 能 幫 我 找 一個 工作 嗎,Can you help me find a job
你 能 借給 我 10000 日元,Can you lend me 10000 yen
你 可以 借 我 一些 錢 嗎,Can you lend me some money
能 借给 我 你 的 刀 吗,Can you lend me your knife
能 麻烦 您 等 一个 小时 左右 吗,Can you wait about an hour
你 能 借 我 这 本书 吗,Could you lend me the book
你 能給 我 看看 這個 包 嗎,Could you show me this bag
他告 訴過 你 要 做 什麼 嗎,Did he tell you what to do
她 來 這裡 放 鬆 的 嗎,Did she come here to relax
你 有 帶 吹 風機 嗎,Did you bring a hair dryer
你 吹 風機 帶來 了 嗎,Did you bring a hair dryer
你 買 了輛 好 自行 車嗎,Did you buy a nice bicycle
你 去 看过 医生 了 吗,Did you go to see a doctor
做 你 認為 正確 的 事,Do what you think is right
你 有 任何 淡 啤酒 嗎,Do you have any light beer
你 有 認識 好 的 牙醫 嗎,Do you know a good dentist
你 對 藝術 很 瞭解 嗎,Do you know much about art
你 知道 我 在 做 什麼 嗎,Do you know what I'm doing
你 知道 他 住 在 哪裡 嗎,Do you know where he lives
你 喜欢 我 的 新发型 吗,Do you like my new haircut
你 常常 收到 他 的 音訊 嗎,Do you often hear from him
你 不想 用 我 的 嗎,Don't you want to use mine
蛋 是 按 打 卖 的,Eggs are sold by the dozen
把 你 的 外套 掛在 鉤子 上,Hang your coat on the hook
他 没有 举起 他 的 手,He did not put up his hand
他 梦想 着 成为 一名 英雄,He dreamed of being a hero
他 像 往常 一樣 五點鐘 起床,He got up at five as usual
他 在 工作 中出 了 意外,He had an accident at work
他 对 古董 很 有 鉴赏力,He has an eye for antiques
他 是 一個 哈佛 的 學生,He is a student at Harvard
他 正在 他 的 書 桌旁 讀書,He is studying at his desk
他 吃 过 午餐 就 出去 了,He left after he had lunch
他 喜欢 数学 但 我 不 喜欢,He likes math but I don't
他 看 起來 像是 個 聰明 的 男孩,He looks like a clever boy
他在門 附近 看到 了 一 隻 狗,He saw a dog near the door
他 寄給 我 一張 生日 賀卡,He sent me a birthday card
他 告诉 我 什么 时候 该 说 是,He told me when to say yes
他 开车 送 我们 回来 的,He took us back in his car
他 差點 被 一輛 汽車 撞 上 了,He was almost hit by a car
你 覺得 這個 派 對 如何,How did you like the party
你 怎麼 拼 你 的 名字 的,How do you spell your name
6 的 4 倍 是 多少,How much is four times six
我 天生 是 一個 樂觀 主義者,I am an optimist by nature
我 很 高興 在 這裡 看到 你,I am happy to see you here
對 於 他 的 工作 我 很 滿意,I am pleased with his work
我 相信 汤姆 会 去 做,I believe Tom will do that
我 可以 轻而易举 地 碰到 我 的 脚趾,I can easily touch my toes
我 不能 吃 这么 多 食物,I can't eat this much food
我 不能 借 你 任何 錢,I can't lend you any money
我 对 这些 都 没有 印象,I can't remember any of it
我 很快 就 趕上 了 他們,I caught up with them soon
我 不 认识 任何 一个 盲人,I don't know any blind men
我 不 知道 能 不能 帮上 忙,I don't know if I can help
我 不 知道 什么 更 糟糕,I don't know what is worse
我 不 知道 我们 将会 做 什么,I don't know what we'll do
我 不 懂 你 什么 意思,I don't know what you mean
我 对 这些 都 没有 印象,I don't remember any of it
我 不 认为 是 你 做 的,I don't think you did this
我 忘记 他 叫 什么 名字 了,I forgot what his name was
我 讓 她 清掃 了 我 的 房間,I got her to clean my room
我 讓 他 修理 我 的 車子,I got him to repair my car
我 睡 了 一整夜 的 好觉,I had a good night's sleep
我 和 她 有 一段 長 談,I had a long talk with her
我 和 她 聊得 很 愉快,I had a nice chat with her
我 有 个 在 波士顿 的 兄弟,I have a brother in Boston
我 的 喉嚨 裡有 一 隻 青蛙,I have a frog in my throat
我緊 張得 說 不 出話 來 了,I have a frog in my throat
保险箱 的 钥匙 在 我 这儿,I have the key to the safe
我 已經 好久 沒有 見 到 你 了,I haven't seen you in ages
我 希望 你 會 再 打 一次 電話,I hope you will call again
我 知道 你 覺得 我 瘋 了,I know you think I'm crazy
我 在 树林 里 迷路 了,I lost my way in the woods
我 在 聚会 上见 了 史密斯,I met a Smith at the party
我 去 东京 站 见 他,I met him at Tokyo Station
我 坐在 汤姆 和 约翰 中间,I sat between Tom and John
我 看见 他 穿过 了 马路,I saw him cross the street
昨晚 我 和 汤姆 说话 了,I talked to Tom last night
