Daily_UV,Average_registration_rate,Average_search_volume,Visit_depth,Average_session_duration,Order_conversion_rate,Total_advertising_duration,Material_type,Ad_type,Cooperation_method,Ad_size,Ad_selling_point,clusters
170.53,0.0006,0.0035,1.4886,215.68,0.0009,27,jpg,banner,cpc,308*388,Free,8
0.99,0.0,0.0,2.5882,207.3,0.0072,29,jpg,banner,cpc,308*388,Free,8
39.95,0.0059,0.0168,3.3213,331.23,0.0073,19,jpg,banner,cpc,308*388,Free,8
3.92,0.0,0.0148,2.6576,257.91,0.0097,13,jpg,banner,cpc,308*388,Free,8
178.82,0.0,0.0018,1.3158,226.92,0.0,23,jpg,banner,cpc,308*388,Free,8
1.66,0.0056,0.0056,2.9333,406.77,0.0057,20,jpg,banner,cpc,308*388,Free,8
0.72,0.0,0.0,1.0685,162.25,0.0,18,jpg,banner,cpc,308*388,Free,8
27.05,0.003,0.01,3.0344,303.63,0.0048,11,jpg,banner,cpc,308*388,Free,8
883.28,0.0,0.0017,1.3782,234.83,0.0001,26,jpg,banner,cpc,308*388,Free,8
9.94,0.0039,0.0088,2.7251,276.92,0.0034,4,jpg,banner,cpc,308*388,Free,8
60.51,0.0038,0.0081,2.0799,250.96,0.0076,5,jpg,banner,cpc,308*388,Free,8
4.67,0.0,0.0021,1.605,160.15,0.001,9,jpg,banner,cpc,308*388,Free,8
115.65,0.0021,0.0088,2.2557,161.46,0.0022,10,jpg,banner,cpc,308*388,Free,8
3.66,0.0026,0.0053,2.2381,445.52,0.0065,13,jpg,banner,cpc,308*388,Free,8
3.46,0.0056,0.0056,3.0084,299.03,0.0062,25,jpg,banner,cpc,308*388,Free,8
0.79,0.0,0.0125,2.5875,251.05,0.003,16,jpg,banner,cpc,308*388,Free,8
2.44,0.0,0.004,1.9798,331.64,0.002,15,jpg,banner,cpc,308*388,Free,8
12.96,0.0015,0.003,1.9888,332.69,0.0028,28,jpg,banner,cpc,308*388,Free,8
12.35,0.0,0.0,2.0088,101.04,0.0002,11,jpg,banner,cpc,308*388,Free,8
0.71,0.0,0.0,1.2639,103.5,0.0,1,jpg,banner,cpc,308*388,Free,8
0.73,0.0,0.0,1.5205,198.87,0.0,6,jpg,banner,cpc,308*388,Free,8
0.99,0.0,0.0,1.991,601.89,0.0024,22,jpg,banner,cpc,308*388,Free,8
18.65,0.0016,0.0058,1.3014,136.01,0.0009,7,jpg,banner,cpc,308*388,Low Price,8
0.67,0.0,0.0282,2.5634,451.17,0.0,19,jpg,banner,cpc,308*388,Low Price,8
2.21,0.0,0.009,1.6099,132.83,0.0043,20,jpg,banner,cpc,308*388,Low Price,8
1.27,0.0,0.0075,1.694,290.44,0.0,24,jpg,banner,cpc,308*388,Low Price,8
44.05,0.0042,0.0182,3.2005,297.96,0.0023,9,jpg,banner,cpc,308*388,Low Price,8
4.6,0.0,0.0106,1.2399,274.75,0.0,9,jpg,banner,cpc,308*388,Low Price,8
19.39,0.0062,0.0167,3.0434,320.77,0.0029,8,jpg,banner,cpc,308*388,Low Price,8
7.56,0.0013,0.0125,3.1388,324.83,0.0028,21,jpg,banner,cpc,308*388,Low Price,8
77.25,0.0064,0.0165,3.2928,291.31,0.0038,25,jpg,banner,cpc,308*388,Low Price,8
34.01,0.0054,0.0196,3.4732,349.33,0.0036,13,jpg,banner,cpc,308*388,Low Price,8
9.83,0.0029,0.0118,2.2784,320.62,0.0019,1,jpg,banner,cpc,308*388,Low Price,8
23.48,0.0099,0.0163,3.1674,305.89,0.0055,14,jpg,banner,cpc,308*388,Low Price,8
29.69,0.0019,0.0133,1.88,221.56,0.0014,7,jpg,banner,cpc,308*388,Low Price,8
30.2,0.0097,0.0184,2.7905,381.24,0.0054,21,jpg,banner,cpc,308*388,Low Price,8
2.9,0.0,0.0126,2.8454,375.19,0.0016,29,jpg,banner,cpc,308*388,Low Price,8
0.61,0.0,0.0704,2.8592,436.05,0.0,16,jpg,banner,cpc,308*388,Low Price,8
1827.19,0.0,0.0021,2.4351,94.47,0.0001,10,jpg,banner,cpc,308*388,Improving efficiency,8
1850.26,0.0,0.0021,2.4714,92.25,0.0001,26,jpg,banner,cpc,308*388,Improving efficiency,8
25294.77,0.0013,0.0056,2.0443,291.37,0.0019,1,jpg,banner,cpc,308*388,Improving efficiency,8
4064.1,0.0008,0.0045,3.1884,156.86,0.0013,28,jpg,banner,cpc,308*388,Improving efficiency,8
1810.84,0.0001,0.0027,2.4701,104.47,0.0003,5,jpg,banner,cpc,308*388,Improving efficiency,8
6822.28,0.0004,0.0067,2.7575,147.05,0.0009,22,jpg,banner,roi,308*388,Improving efficiency,8
12068.18,0.0031,0.0266,3.4892,273.5,0.0047,10,jpg,banner,cpc,308*388,Improving efficiency,8
8.52,0.0,0.0,2.2837,174.27,0.0,10,jpg,banner,cpc,308*388,Improving efficiency,8
1.7,0.0,0.0,1.9708,108.1,0.0,26,jpg,banner,cpc,308*388,Improving efficiency,8
16752.95,0.0013,0.0197,2.0797,327.89,0.002,1,jpg,banner,cpc,308*388,Improving efficiency,8
5.07,0.0,0.0,1.5582,101.17,0.0,15,jpg,banner,cpc,308*388,Improving efficiency,8
14.84,0.0,0.0,1.0721,185.03,0.0,12,jpg,banner,cpc,308*388,Improving efficiency,8
4304.33,0.0012,0.0089,3.0204,132.64,0.0019,30,jpg,banner,cpc,308*388,Improving efficiency,8
5.08,0.0,0.0,1.6621,63.73,0.0,9,jpg,banner,cpc,308*388,Improving efficiency,8
1.15,0.0,0.0086,1.7759,77.45,0.0,25,jpg,banner,cpc,308*388,Improving efficiency,8
0.53,0.0278,0.0,9.9583,680.03,0.0719,24,jpg,banner,roi,308*388,Improving efficiency,8
0.65,0.0,0.3049,5.9268,438.96,0.0183,29,jpg,banner,roi,308*388,Improving efficiency,8
689.18,0.0001,0.0041,1.2746,347.71,0.0002,11,video,tips,cpm,450*300,Promotion and salary increase,7
711.71,0.0002,0.0012,1.2957,229.33,0.0001,3,video,tips,cpm,450*300,Promotion and salary increase,7
51.28,0.0004,0.0109,1.168,261.29,0.0003,14,video,tips,cpm,450*300,Promotion and salary increase,7
837.77,0.0,0.0013,1.1692,695.05,0.0,27,video,tips,cpm,450*300,Promotion and salary increase,7
397.34,0.0,0.0026,1.1392,687.09,0.0,13,video,tips,cpm,450*300,Promotion and salary increase,7
838.98,0.0,0.0001,1.0621,375.92,0.0,1,video,tips,cpm,450*300,Promotion and salary increase,7
1027.8,0.0014,0.0083,2.005,420.23,0.0027,1,video,tips,cpm,450*300,Promotion and salary increase,7
776.93,0.0032,0.0056,1.5872,470.25,0.0014,26,video,tips,cpm,450*300,Promotion and salary increase,7
810.64,0.0003,0.0042,1.4892,511.82,0.0004,20,video,tips,cpm,450*300,Promotion and salary increase,7
515.57,0.0019,0.0019,1.6943,293.64,0.0013,10,video,tips,cpm,450*300,Promotion and salary increase,7
481.45,0.0,0.0003,1.2045,521.41,0.0001,9,video,tips,cpm,450*300,Promotion and salary increase,7
378.75,0.0,0.0019,1.2483,333.51,0.0001,9,video,tips,cpm,450*300,Promotion and salary increase,7
1061.24,0.0001,0.0009,1.1294,536.39,0.0,13,video,tips,cpm,450*300,Promotion and salary increase,7
221.37,0.0005,0.0011,1.3376,247.39,0.0005,2,video,tips,cpm,450*300,Promotion and salary increase,7
699.72,0.0001,0.0039,1.2969,348.1,0.0001,26,video,tips,cpm,450*300,Free,7
739.93,0.0004,0.0014,1.3032,236.05,0.0001,23,video,tips,cpm,450*300,Free,7
56.04,0.0,0.007,1.1712,265.84,0.0006,25,video,tips,cpm,450*300,Free,7
513.11,0.0,0.0001,1.0495,400.81,0.0,13,video,tips,cpm,450*300,Free,7
607.28,0.0001,0.0021,1.234,640.29,0.0002,1,video,tips,cpm,450*300,Free,7
6101.12,0.0001,0.0012,3.0462,79.12,0.0001,17,video,tips,cpm,450*300,Free,7
2.66,0.0,0.0,1.0526,209.6,0.0,21,video,tips,cpm,450*300,Promotion and salary increase,7
2.15,0.0,0.0,2.893,61.76,0.0,30,video,tips,cpm,450*300,Promotion and salary increase,7
4782.88,0.0,0.0017,1.4086,360.79,0.0,3,video,tips,cpm,450*300,Free,7
1553.42,0.0,0.0003,1.0074,517.0,0.0,4,video,tips,cpm,450*300,Free,7
9276.45,0.0,0.0002,1.3062,573.57,0.0,26,video,tips,cpm,450*300,Free,7
2.8,0.0,0.0,1.1815,156.15,0.0,16,video,tips,cpm,450*300,Promotion and salary increase,7
0.62,0.0,0.0,5.8497,731.24,0.0307,22,video,tips,cpm,450*300,Promotion and salary increase,7
0.75,0.0118,0.0,2.3412,358.06,0.0032,26,video,tips,cpm,450*300,Promotion and salary increase,7
0.71,0.0,0.0,1.6316,595.08,0.0,9,video,tips,cpm,450*300,Promotion and salary increase,7
0.69,0.0,0.0106,1.7234,339.95,0.0,26,video,tips,cpm,450*300,Promotion and salary increase,7
10.37,0.0027,0.2581,2.0878,460.32,0.0023,16,video,tips,cpm,450*300,Promotion and salary increase,7
22.03,0.0028,0.273,1.9634,331.8,0.0026,9,video,tips,cpm,450*300,Promotion and salary increase,7
8.69,0.0052,0.2721,2.2492,320.94,0.003,27,video,tips,cpm,450*300,Promotion and salary increase,7
1696.8,0.0006,0.0025,1.4892,449.28,0.0007,27,video,tips,cpc,450*300,Low Price,7
1371.16,0.0007,0.0032,1.3058,196.46,0.0005,15,video,tips,cpm,450*300,Promotion and salary increase,7
8022.95,0.0015,0.0028,1.2836,222.02,0.0006,13,video,tips,cpm,450*300,Promotion and salary increase,7
2857.91,0.0002,0.0004,1.1931,504.9,0.0004,14,video,tips,cpm,450*300,Employment,7
617.93,0.0004,0.0004,1.223,540.66,0.0003,4,video,tips,cpm,450*300,Employment,7
2774.65,0.0005,0.004,1.4392,218.48,0.0005,11,video,tips,cpm,450*300,Employment,7
865.18,0.0083,0.0474,4.8006,406.2,0.0108,19,video,tips,cpm,450*300,Employment,7
1688.73,0.0014,0.003,1.7099,231.09,0.0006,15,video,tips,cpm,450*300,Employment,7
4701.77,0.0001,0.0022,1.4726,402.4,0.0001,17,video,tips,cpm,450*300,Employment,7
3005.82,0.0003,0.0018,1.2415,466.74,0.0003,16,video,tips,cpm,450*300,Employment,7
73.63,0.0011,0.0032,1.2954,183.13,0.0005,15,video,tips,cpm,450*300,Employment,7
693.89,0.0013,0.0036,1.5914,232.55,0.0011,16,video,tips,cpc,450*300,Employment,7
1945.05,0.0002,0.0019,1.348,619.79,0.0003,9,video,tips,cpc,450*300,Employment,7
146.68,0.0011,0.0021,1.7829,290.85,0.0013,26,video,tips,cpc,450*300,Employment,7
4001.49,0.0,0.0002,1.3918,432.26,0.0001,9,video,tips,cpc,450*300,Employment,7
583.85,0.0082,0.0941,4.1954,392.9,0.0106,28,video,tips,cpc,450*300,Employment,7
1643.32,0.0,0.0003,1.0218,575.75,0.0,23,video,tips,cpc,450*300,Employment,7
6087.03,0.0,0.0004,1.5439,764.75,0.0,11,video,tips,cpc,450*300,Free,7
3.44,0.0,0.0,1.0287,486.22,0.0,22,video,tips,cpc,450*300,Employment,7
1.61,0.0,0.0,1.0121,298.53,0.0,17,video,tips,cpc,450*300,Employment,7
66.02,0.0,0.0036,2.9038,296.99,0.0001,30,jpg,tips,roi,450*300,Improving efficiency,5
0.77,0.0,0.0127,1.9494,340.73,0.0,4,video,Information flow,cpc,600*90,Promotion and salary increase,0
1098.3,0.0008,0.006,1.9497,448.69,0.0007,25,video,Information flow,cpc,600*90,Promotion and salary increase,0
307.46,0.0153,0.1413,7.2082,523.27,0.0308,17,video,Information flow,cpm,600*90,Promotion and salary increase,0
14.22,0.0,0.0,1.0152,232.24,0.0,13,video,Information flow,cpm,600*90,Promotion and salary increase,0
2.55,0.0,0.0076,1.4981,510.51,0.0009,14,video,Information flow,cpm,600*90,Promotion and salary increase,0
175.02,0.0098,0.1084,5.5044,495.25,0.0137,21,video,Information flow,cpm,600*90,Promotion and salary increase,0
15.04,0.0036,0.0263,5.0156,414.17,0.0108,2,video,Information flow,cpm,600*90,Promotion and salary increase,0
9320.06,0.0017,0.0061,1.941,518.54,0.0018,18,video,Information flow,cpm,600*90,Promotion and salary increase,0
6.18,0.0,0.0016,1.0208,328.79,0.0,4,video,Information flow,cpm,600*90,Promotion and salary increase,0
1.51,0.0,0.0,1.0065,570.42,0.0,24,video,Information flow,cpm,600*90,Promotion and salary increase,0
493.45,0.0001,0.0043,1.323,368.06,0.0,16,video,Information flow,cpm,600*90,Promotion and salary increase,0
1816.29,0.0006,0.0006,1.292,526.88,0.0006,17,video,Information flow,cpm,600*90,Promotion and salary increase,0
2266.65,0.0013,0.0127,1.6095,496.31,0.0014,17,video,Information flow,cpm,600*90,Promotion and salary increase,0
122.04,0.0033,0.017,2.7937,365.16,0.0032,19,video,Information flow,cpc,600*90,Promotion and salary increase,0
0.64,0.0,0.33,5.71,666.3,0.0112,7,video,Information flow,cpc,600*90,Promotion and salary increase,0
513.1,0.0066,0.0474,2.6251,329.86,0.0053,6,video,Information flow,roi,600*90,Promotion and salary increase,2
1.78,0.0,0.0576,3.2446,569.2,0.0147,30,video,Information flow,roi,600*90,Promotion and salary increase,2
1101.34,0.0,0.0014,1.6067,68.78,0.0001,19,video,Information flow,roi,600*90,Promotion and salary increase,2
1.36,0.0,0.2271,4.9345,628.01,0.0105,18,video,Information flow,cpc,600*90,Promotion and salary increase,0
198.7,0.0,0.0009,1.6886,65.93,0.0001,26,video,Information flow,roi,600*90,Promotion and salary increase,2
978.37,0.0,0.0017,1.4973,69.2,0.0001,27,video,Information flow,roi,600*90,Promotion and salary increase,2
361.36,0.0,0.0026,1.5839,83.78,0.0001,4,video,Information flow,roi,600*90,Promotion and salary increase,2
752.21,0.0,0.0017,1.4797,121.38,0.0001,7,video,Information flow,roi,600*90,Promotion and salary increase,2
658.32,0.0,0.0015,1.5743,76.48,0.0004,24,video,Information flow,roi,600*90,Promotion and salary increase,2
404.01,0.0,0.0012,1.5393,71.57,0.0001,19,video,Information flow,roi,600*90,Promotion and salary increase,2
1119.39,0.0,0.0008,1.5275,65.7,0.0001,27,video,Information flow,roi,600*90,Promotion and salary increase,2
354.75,0.0,0.0005,1.5221,69.01,0.0001,27,video,Information flow,roi,600*90,Promotion and salary increase,2
417.31,0.0002,0.002,1.5091,111.28,0.0001,21,video,Information flow,roi,600*90,Promotion and salary increase,2
1260.56,0.0003,0.0002,1.6028,81.25,0.0002,25,video,Information flow,roi,600*90,Promotion and salary increase,2
2.25,0.0,0.269,4.5761,465.62,0.019,8,video,Information flow,cpc,600*90,Promotion and salary increase,0
1107.49,0.0,0.0014,1.4979,75.65,0.0,27,video,Information flow,roi,600*90,Promotion and salary increase,2
733.3,0.0001,0.0013,1.5459,61.81,0.0001,18,video,Information flow,roi,600*90,Promotion and salary increase,2
1240.76,0.0,0.0011,1.5285,61.21,0.0001,9,video,Information flow,roi,600*90,Promotion and salary increase,2
754.35,0.0001,0.0007,1.5224,67.74,0.0002,30,video,Information flow,roi,600*90,Promotion and salary increase,2
416.05,0.0,0.0,1.6777,72.81,0.0001,16,video,Information flow,roi,600*90,Promotion and salary increase,2
136.83,0.0036,0.0136,2.6497,367.05,0.0036,9,video,Information flow,cpc,600*90,Promotion and salary increase,0
4.94,0.0018,0.0232,3.4393,458.02,0.0082,25,video,Information flow,cpc,600*90,Promotion and salary increase,0
0.77,0.0,0.0,1.2308,157.7,0.0,19,video,Information flow,cpc,600*90,Promotion and salary increase,0
5303.27,0.0012,0.0032,2.1992,281.56,0.0014,14,video,Information flow,cpc,600*90,Promotion and salary increase,0
8900.04,0.0,0.0011,1.9078,228.05,0.0,29,video,Information flow,cpc,600*90,Promotion and salary increase,0
1.9,0.0,0.0,1.2421,145.44,0.0,3,video,Information flow,cpc,600*90,Promotion and salary increase,0
1.26,0.0,0.0,1.2143,135.27,0.0,28,video,Information flow,cpc,600*90,Promotion and salary increase,0
24.49,0.0034,0.0467,2.7989,439.09,0.0052,9,video,Information flow,cpc,600*90,Promotion and salary increase,0
1887.63,0.0017,0.0044,2.4998,310.83,0.0025,4,video,Information flow,cpc,600*90,Promotion and salary increase,0
304.07,0.0029,0.0141,2.7393,369.61,0.0028,14,video,Information flow,cpc,600*90,Promotion and salary increase,0
5360.48,0.0,0.0012,2.0176,240.31,0.0,27,video,Information flow,cpc,600*90,Promotion and salary increase,0
0.89,0.0,0.0,1.3708,146.37,0.0,4,video,Information flow,cpc,600*90,Promotion and salary increase,0
0.75,0.0,0.0,1.2533,157.81,0.0,5,video,Information flow,cpc,600*90,Promotion and salary increase,0
0.8,0.0,0.023,1.7586,185.38,0.0,11,video,Information flow,cpc,600*90,Promotion and salary increase,0
64.67,0.0097,0.0685,2.9173,402.44,0.0113,6,video,Information flow,roi,600*90,Promotion and salary increase,2
1.02,0.0073,0.3869,4.2336,487.93,0.0023,20,video,Information flow,cpc,600*90,Promotion and salary increase,0
0.07,0.0079,0.0,2.1587,813.25,0.068,1,video,Information flow,cpc,600*90,Promotion and salary increase,0
170.08,0.0,0.0001,1.23,212.62,0.0,24,video,Information flow,roi,600*90,Promotion and salary increase,2
769.74,0.0,0.0,1.3363,253.83,0.0,10,video,Information flow,roi,600*90,Promotion and salary increase,2
144.52,0.0,0.0001,2.0592,136.31,0.0002,8,video,Information flow,roi,600*90,Promotion and salary increase,2
102.3,0.0,0.0002,1.5622,180.64,0.0,11,video,Information flow,roi,600*90,Promotion and salary increase,2
280.38,0.0,0.0001,1.3405,235.54,0.0001,29,video,Information flow,roi,600*90,Promotion and salary increase,2
589.44,0.0,0.0001,1.4317,272.17,0.0,24,video,Information flow,roi,600*90,Promotion and salary increase,2
1135.49,0.0,0.0,1.3572,120.8,0.0,18,video,Information flow,roi,600*90,Promotion and salary increase,2
214.62,0.0001,0.0004,1.5784,133.23,0.0001,3,video,Information flow,roi,600*90,Promotion and salary increase,2
523.69,0.0,0.0001,1.2794,124.51,0.0,30,video,Information flow,roi,600*90,Promotion and salary increase,2
